year,country,skin,bladder,uterus,"colon, rectum and anus",breast,ovary,prostate,"trachea, bronchus and lung"
2016,Denmark,13.8,25.200000000000003,3.5,93.7,33.0,11.8,48.7,175.7
2016,Estonia,8.1,27.0,7.1,102.4,25.6,9.3,57.9,150.29999999999998
2016,Finland,10.4,14.0,1.8,60.8,24.5,10.0,34.8,106.19999999999999
2016,France,7.4,22.1,2.0,70.1,29.5,8.2,27.9,136.9
2016,Germany,8.6,17.700000000000003,2.9,72.1,31.8,9.4,33.1,136.8
2016,Greece,5.3,28.2,2.5,61.5,28.6,7.4,25.3,166.4
2016,Hungary,10.3,30.8,6.5,147.9,34.5,10.9,35.3,253.10000000000002
2016,Iceland,8.0,19.9,1.4,74.8,31.9,9.5,51.0,161.5
2016,Israel,10.8,22.3,2.5,66.9,30.8,9.7,17.1,99.2
2016,Italy,8.0,23.9,1.3,72.2,28.0,7.5,21.8,133.0
2016,Japan,1.0,12.7,3.2,77.4,15.5,5.2,13.9,115.60000000000001
2016,Korea,1.7999999999999998,12.5,3.4,63.2,8.9,4.5,13.6,139.4
2016,Latvia,8.0,33.1,9.1,92.2,32.1,14.9,57.9,142.79999999999998
2016,Lithuania,10.2,28.8,10.1,86.9,25.8,13.7,51.6,136.0
2016,Luxembourg,8.3,26.0,1.5,60.4,30.2,9.1,23.7,137.2
2016,Mexico,3.4,6.7,10.3,29.0,17.2,6.7,30.5,36.7
2016,Netherlands,12.7,23.1,2.4,86.0,31.5,10.3,37.3,176.5
2016,New Zealand,26.7,16.9,2.4,92.8,28.8,7.7,33.3,124.9
2016,Norway,17.8,20.5,3.5,92.7,22.0,11.0,45.6,130.8
2016,Peru,3.4,4.2,9.6,23.6,9.5,3.7,25.3,29.9
2016,Poland,11.2,34.7,7.1,100.7,28.7,11.8,39.2,192.8
2016,Portugal,5.9,23.7,2.9,93.2,24.6,4.9,35.5,103.6
2016,Romania,6.800000000000001,25.099999999999998,14.0,95.5,29.1,9.1,29.2,152.2
2016,Slovak Republic,14.2,29.200000000000003,7.2,136.20000000000002,33.7,9.6,42.4,145.7
2016,Slovenia,16.8,29.4,3.1,102.1,27.8,11.4,46.7,158.5
2016,South Africa,7.300000000000001,13.0,24.5,47.1,28.0,6.3,70.2,93.4
2016,Spain,5.5,28.099999999999998,2.2,88.4,21.2,6.8,24.9,135.1
2016,Sweden,14.0,17.200000000000003,2.4,72.8,23.0,9.4,47.8,97.1
2016,Switzerland,10.2,20.5,1.8,55.5,27.2,8.4,33.4,109.4
2016,Türkiye,3.4000000000000004,17.2,1.9,49.8,14.5,5.9,24.6,159.8
2016,United Kingdom,10.0,23.6,2.4,72.2,30.1,11.0,38.6,154.1
2016,United States,8.4,17.8,2.6,53.0,24.9,8.6,24.6,150.4
2017,Argentina,5.3,16.1,6.5,77.6,34.0,6.9,35.8,98.9
2017,Australia,18.4,14.100000000000001,1.9,56.400000000000006,23.4,8.0,33.0,109.1
2017,Austria,12.4,18.2,2.9,64.9,27.5,8.6,31.4,121.0
2017,Belgium,7.7,21.0,2.6,66.2,30.2,8.4,29.1,142.2
2017,Brazil,4.5,13.299999999999999,7.8,47.199999999999996,22.0,5.2,38.6,71.3
2017,Bulgaria,4.3,23.9,8.3,90.19999999999999,26.0,9.3,29.6,123.30000000000001
2017,Canada,8.7,19.1,2.1,68.7,25.6,9.1,27.6,161.3
2017,Chile,4.8,14.399999999999999,7.4,61.099999999999994,19.0,6.5,46.2,76.8
2017,Colombia,3.9,7.0,9.9,43.3,19.6,6.4,31.8,56.9
2017,Costa Rica,6.7,13.5,7.3,54.3,21.2,4.3,32.3,31.4
2017,Croatia,14.1,32.8,4.2,130.8,30.6,11.4,43.8,192.2
